               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099026,             0.11317,            0.056816,                   0,                   0,                   0,                   0,             0.10213,            0.095854,            0.059295,           0.0032971,           0.0032971,            0.070326
                   1,            0.079508,            0.092709,            0.038562,             0.64047,             0.13273,            0.056529,            0.014544,            0.069373,            0.091473,            0.029956,           0.0065648,           0.0065648,             0.04026
                   2,              0.0736,            0.077927,            0.024144,             0.44992,             0.11145,            0.016024,           0.0032887,            0.092472,             0.13121,            0.036931,           0.0097665,           0.0097665,            0.010129
                   3,            0.063146,            0.072937,            0.018311,             0.76147,             0.22108,             0.19254,            0.068773,            0.055477,            0.079853,            0.018828,            0.009703,            0.009703,            0.009703
                   4,            0.055482,             0.06792,             0.01641,              0.5394,             0.34143,             0.28483,              0.1178,            0.047704,            0.071443,            0.016341,            0.009703,            0.009703,            0.009703
                   5,             0.05099,            0.065215,            0.014788,             0.53629,             0.47545,             0.38143,             0.16163,            0.044835,            0.069718,            0.014193,            0.009604,            0.009604,            0.009604
                   6,            0.048317,            0.064247,            0.013024,             0.67819,             0.47366,             0.41958,             0.20196,            0.040542,            0.063252,            0.012356,            0.009505,            0.009505,            0.009505
                   7,            0.046529,             0.06265,            0.011627,             0.71123,             0.45762,             0.44836,              0.2103,              0.0403,            0.061648,             0.01113,            0.009406,            0.009406,            0.009406
                   8,            0.045285,            0.060531,            0.010784,             0.73041,             0.50231,             0.47526,             0.23139,            0.038459,            0.062701,            0.010272,            0.009307,            0.009307,            0.009307
                   9,            0.043365,             0.05978,            0.010272,             0.71255,             0.52734,             0.50116,               0.249,            0.037599,            0.058482,           0.0095695,            0.009208,            0.009208,            0.009208
                  10,            0.042958,            0.059442,           0.0095419,             0.73446,             0.50676,             0.48646,             0.25148,            0.036662,            0.059811,             0.01009,            0.009109,            0.009109,            0.009109
                  11,            0.041745,            0.059427,            0.008873,             0.77113,             0.52936,             0.53273,             0.27258,            0.036332,             0.05721,           0.0084131,             0.00901,             0.00901,             0.00901
